NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Brandon Bass,2745,boston-celtics,2011/2012,20,20,30.4,11.1,1.3,4.0,5.3,0.8,0.70,0.50,0.8,2.5,1.0
Ray Allen,9,boston-celtics,2011/2012,18,10,34.2,10.7,0.4,3.7,4.1,1.0,0.94,0.11,0.9,2.3,1.1
Avery Bradley,4240,boston-celtics,2011/2012,10,10,24.8,6.7,0.3,1.7,2.0,0.8,0.80,0.60,1.0,2.0,0.8
Mickael Pietrus,2173,boston-celtics,2011/2012,20,1,19.7,3.5,0.6,1.5,2.1,0.1,0.70,0.25,0.5,2.5,0.2
Keyon Dooling,209,boston-celtics,2011/2012,20,0,10.6,2.8,0.1,0.7,0.8,0.7,0.30,0.20,0.2,1.5,4.7
Marquis Daniels,2200,boston-celtics,2011/2012,15,0,6.1,2.0,0.1,0.6,0.7,0.2,0.13,0.07,0.1,0.9,1.5
Ryan Hollins,3008,boston-celtics,2011/2012,17,0,10.0,1.5,0.9,0.6,1.6,0.5,0.00,0.47,0.4,1.7,1.1
Greg Stiemsma,4235,boston-celtics,2011/2012,19,0,7.5,1.5,0.5,1.7,2.2,0.3,0.21,0.58,0.2,1.4,1.3
Sasha Pavlovic,2172,boston-celtics,2011/2012,10,0,4.0,0.7,0.2,0.3,0.5,0.1,0.10,0.10,0.4,0.4,0.3
E'Twaun Moore,6460,boston-celtics,2011/2012,9,0,2.3,0.6,0.0,0.3,0.3,0.3,0.00,0.11,0.1,0.2,3.0
Sean Williams,3239,boston-celtics,2011/2012,2,0,3.0,0.0,0.0,0.5,0.5,0.0,0.00,0.00,0.5,0.5,0.0
Jeff Green,3209,boston-celtics,2012/2013,6,6,43.0,20.3,1.0,4.3,5.3,2.3,0.33,0.67,3.2,3.7,0.7
Paul Pierce,662,boston-celtics,2012/2013,6,6,42.5,19.2,0.7,5.0,5.7,5.3,0.83,0.50,5.3,3.5,1.0
Kevin Garnett,261,boston-celtics,2012/2013,6,6,35.3,12.7,1.5,12.2,13.7,3.5,0.83,1.00,3.2,3.8,1.1
Jason Terry,841,boston-celtics,2012/2013,6,1,31.5,12.0,0.0,2.2,2.2,2.0,0.67,0.33,0.8,1.5,2.4
Brandon Bass,2745,boston-celtics,2012/2013,6,5,34.0,6.7,1.3,5.3,6.7,1.2,0.33,0.17,0.8,2.8,1.4
Avery Bradley,4240,boston-celtics,2012/2013,6,6,31.8,6.7,0.5,1.7,2.2,1.3,1.83,0.17,1.8,1.8,0.7
Jordan Crawford,4243,boston-celtics,2012/2013,5,0,11.8,3.6,0.0,0.6,0.6,0.0,0.40,0.00,0.6,0.6,0.0
Courtney Lee,3445,boston-celtics,2012/2013,4,0,9.8,1.5,0.0,0.5,0.5,0.3,0.50,0.00,0.0,0.8,0.0
Terrence Williams,4019,boston-celtics,2012/2013,5,0,9.6,1.0,0.2,1.8,2.0,1.2,0.00,0.20,0.8,0.6,1.5
Chris Wilcox,1731,boston-celtics,2012/2013,2,0,3.0,0.0,0.0,1.0,1.0,0.0,0.00,0.00,0.0,0.0,0.0
Shavlik Randolph,2810,boston-celtics,2012/2013,1,0,3.0,0.0,0.0,3.0,3.0,0.0,0.00,0.00,0.0,1.0,0.0
Jeff Green,3209,boston-celtics,2013/2014,82,82,34.2,16.9,0.7,4.0,4.6,1.7,0.70,0.57,2.0,2.2,0.8,13.2
Avery Bradley,4240,boston-celtics,2013/2014,60,58,30.9,14.9,0.8,3.0,3.8,1.4,1.05,0.18,1.6,2.4,0.9,12.8
